,1000 Questions,,,1,20%
 771 ,"The setback of a septic tank from a residential wall should be at least 1.5 meters or 5 feet while the setback of a disposal field or leach field is 2.5 meters or 8 feet. What should be the minimum distance between your septic tank and leach field from your neighbor's exterior wall?
(A) 2 meters
(B) 3 meters 
(C) 4 meters 
(D) 5 meters 
(E) 6 meters",C,,,
 772 ,"What should be the minimum distance between a drinking water-well or spring from the drainfield of a septic tank?
(A) 15 m 
(B) 25 m 
(C) 35 m 
(D) 45 m 
(E) 55m",B,,,
 773 ,"What planning measures contribute to the evolution and development of a ""sustainable transportation system""?
(A) Reduce need to travel 
(B) Change people's travel behavior 
(C) Integrate different modes of transport 
(D) Give people more choices and more accessibility 
(E) Provide transport with new sources of energy 
(F) All of the above",F,,,
 774 ,"In the physical design of roads, which of the following increases the possibility of accidents and mishaps?
(A) prescribed dimensions according to hierarchy of roads 
(B) conforms to natural topography 
(C) conforms to BP 344 Accessibility Law 
(D) blind comers 
(E) moderate slope/grade 
(F) adequate sight distance",D,,,
 775 ,"Traffic calming' is a
(A) course of Tai Chi and 'Qi Gong' exercises to de-stress drivers
(B) package of grade-separation measures to physically segregate vehicles and pedestrians
(C) package of measures to increase capacity of local roads so that traffic can move more quickly 
(D) package of traffic engineering measures to reduce speed on local roads and divert through-traffic elsewhere 
(E) police enforcement campaign to reduce vehicle noise and emissions",D,,,
 776 ,"Which of the following is not a measure of travel demand management (TDM)?
(A) controls on public transport 
(B) controls on land use development 
(C) controls on vehicle ownership 
(D) controls on vehicle use
(E) controls on parking ",B,,,
 777 ,"The following represent how government subsidizes automobile use over mass transit, except one.
(A) large annual funding for highway maintenance 
(B) government research on development of fuels 
(C) investment incentives for tollway and expressway corporations
(D) market rate and cost-recovery level for light rail fares",D,,,
 778 ,"ln contrast to pedal-driven 'trisikad', what is environmentalists' basis of opposition to two-stroke motor-driven tricycles?
(A) greater incidence of road accidents 
(B) increase in air pollution 
(C) limited service capacity and range of movement 
(D) slower speed increases congestion along national highways",B,,,
 779 ,"The following are the basic elements of 'human settlements' according to Dr. Konstantinos Doxiadis. Which one pertains to the built environment or physical capital? 
(A) anthropos 
(B) Nature 
(C) shells and networks 
(D) society 
(E) social structure",C,,,
 780 ,"An individual, group, organization, sector, or community who has a direct or indirect interest in a policy, program, or project, who affects or is affected by -- positively or negatively -- the implementation and outcome of it, is called 
(A) recipient /beneficiary 
(B) proponent / exponent 
(C) advocate 
(D) stakeholder 
(E) shareholder",D,,,
 781 ,"The ""SMART test"" by George Doran means that both 'task objectives' and 'process objectives' have to be specific, measurable, attainable, realistic, and __
(A) tenable 
(B) truthful
(C) time-bound 
(D) testable 
(E) treatable",C,,,
 782 ,"What is a 'theory' in urban and regional planning as a field of social science?
(A) an educated guess being tested by numerous experiments 
(B) outcome or proof to establish causal connection among key actors and factors 
(C) a set of principles derived from envisioned future state of society 
(D) a set of interrelated propositions or hypotheses that has been supported by several studies in the past",C,,,
 783 ,"A 'projection' or 'prediction' is a conditional statement about the future based on mathematical computation or statistical model that uses available data to extrapolate past and present trends into the future, while ____ is a judgmental statement of what an analyst believes to be the most likely logical future according to his/her subjective evaluation. 
(A) premonition 
(B) forecast 
(C) foresight 
(D) vibration 
(E) prophecy",B,,,
 784 ,"Which of the following is not a research method?
(A) questionnaire 
(B) interview 
(C) appraisal 
(D) case study 
(E) survey",C,,,
 785 ,"A 'problem tree' is
(A) a kind of tree that grows in the wrong place 
(B) a method of environmental impact assessment
(C) a tool to understand cause and effect relations among problems 
(D) used to trace ancient roots of intractable development problems",C,,,
 786 ,"ln the structure of informant interviews, the acronym “STAR” method stands for
(A) Select, Talk, Articulate, Relate 
(B) Solve, Test, Analyze, Repeat 
(C) Situation, Task, Action, Result
(D) Salaries, Travels, Add-ons, Refunds 
(E) Simple, True, Action, Reflection",C,,,
 787 ,"The strength of survey questionnaire as research instrument lies in
(A) ability to provide baseline data 
(B) ability to measure or quantify variables
(C) ability to reveal potential relations between different sets of data 
(D) ability to draw out the most sincere responses from informants",a,,,
 788 ,"ln 'Quality of Life Assessment, which category of indicators of human ability and well-being would have a clear spatial dimension?
(A) ""to be"" 
(B) ""not to be""
(C) ""to dream""
(D) ""to become""
(E) ""to do""",a,,,
,"abiity - ""to be""; capability - ""to do""",,,,
 789 ,"An environmental chemist in a laboratory reports a new discovery based on experimental results. If the experimental results are to be valid, environmental chemists in other laboratories should be able to 
(A) repeat the experiment with a different variable and obtain the same results 
(B) perform the same experiment and obtain different results 
(C) repeat the same experiment and obtain the same results 
(D) perform the same experiment under different experimental conditions and obtain the same results",D,,,
 790 ,"An investigation was designed to determine the effect of ultraviolet light on mold spore growth. Two groups of mold spores were grown under identical conditions, except one group was exposed only to ultraviolet light, while the other group was grown in total darkness. In this investigation, the group of mold spores grown in total darkness is known as the 
(A) experimental group 
(B) pilot group 
(C) control group 
(D) test group 
(E) manipulated group 
(F) focus group",C,,,
 791 ,"Two test tubes were filled with a solution of bromthymol blue. A technician exhaled through a straw into each tube, and the bromthymol blue turned yellow. An aquatic green plant was placed into each tube, and the tubes were corked. One tube was placed in the dark, and one was placed in direct sunlight. The yellow solution in the tube in sunlight turned blue, while the one in the dark remained yellow. Which statement best explains why the solution in the tube placed in sunlight returned to a blue color?
(A) Oxygen was used for photosynthesis.
(B) Oxygen was removed by respiration. 
(C) Carbon dioxide was removed by photosynthesis. 
(D) Carbon dioxide was produced by respiration",C,,,
 792 ,"The use of a variety of methods, sources, or field team members, at least three in kind or category, to cross check and validate information inorder to limit possible biases in a research study is called 
(A) corroboration 
(B) confirmatory test 
(C) triangulation 
(D) reconnaisance 
(E) cross-disciplinary control",C,,,
 793 ,"This method uses words rather than numbers to describe and measure key actors and critical factors. Words are then arranged on a descriptive scale and given approximate numeric values for analytic purposes, but such scale can not accurately reflect magnitude or intensity of variables and dimensions.
(A) Multi-variate Analysis 
(B) Qualitative Analysis 
(C) Muddling Through 
(D) Phenomenology",B,,,
 794 ,"What is the smallest time frame using the 'cohort survival method' of population analysis? 
(A) 2 years 
(B) 3 years 
(C) 4 years 
(D) 5 years 
(E) 6 years",D,,,
 795 ,"A country currently has a population of 100 million and an annual growth rate of 3.5 percent. If the growth rate remains constant, what will be the population of this country in 40 years? 
(A) 150 million 
(B) 200 million 
(C) 300 million 
(D) 400 million 
(E) 600 million",D,,,
 796 ,"This error in logic means that conclusions drawn from analysis of a group are applied to the group's members without regard for individual variation or unknown 'x,y' factors that can come from human attitude and idiosyncratic behavior. 
(A) sweeping generalization 
(B) argumentum ad hominem 
(C) ecological fallacy 
(D) equivocation 
(E) begging the question
(F) fallacy of affirming the disjunct or the consequent",F,,,
 797 ,"How many square meters are there in one acre?
(A) 328 
(B) 1,250 
(C) 4,047 
(D) 8,700 
(E) 43,560",C,,,
 798 ,"How many acres are there in one hectare? 
(A) 2.47 
(B) 0.96 
(C) 3.28 
(D) 10 
(E) 100 ",A,,,
 799 ,"How many hectares are there in one square kilometer?
(A) 10 
(B) 100 
(C) 1 ,000 
(D) 10,000",B,,,
 800 ,"This refers to amount of energy necessary to raise one gram of water one degree Celsius; its approximate equivalent in Systeme Internationale metric measurements is 1055 joules.
(A) calorie 
(B) Kelvin 
(C) BTU - British Thermal Unit 
(D) kilojoule 
(E) PSI - pounds per square inch",C,,,
 801 ,"‘Tempo of urbanization’ refers to
(A) the rate at which population increases in a given year due to the surplus or births over deaths, expressed as percentage of base population 
(B) an indicator used to express the speed at which an area is urbanizing, usually measured as difference between urban growth rate and rural growth rate 
(C) rate at which the population is increasing (or decreasing) due to natural increases and net migration, expressed as a percentage of the base population 
(D) the number of years a population would take to double in size if its current growth rate remains the same",B,,,
 802 ,"The key to 'urban sustainability' lies in
(A) Large infrastructure projects funded by donors 'motivation' consumer choices' 
(B) Stopping people migrating to the city 
(C) Teaching people discipline 
(D) Holistic approaches which deal with environmental, economic, social and political needs and pressures",D,,,
 803 ,"The change in global average human life expectancy between the years 1900 and 2000 is most likely the result of 
(A) abundance of food and eradication of worldwide hunger 
(B) improved technologies to ensure air quality and soil quality 
(C) medical research progress and introduction or new techniques to control disease 
(D) improved land management and land use regimes ",C,,,
 804 ,"Labor Force' is more accurately defined as comprising all persons
(A) aged 18 to 65 years currently employed, underemployed, or active in the informal sector or underground economy 
(B) aged 16 to 64 years regardless of gender, economic status, qualification, physical fitness, mental health condition 
(C) aged 15 to 64 years not in school nor under special care and actively seeking productive work or employment 
(D) aged 14 years and above with demonstrated literacy, numeracy, writing, and analytical skills",C,,,
 805 ,"Based on National Statistics Office's definition, women of this age range are presumed to be fertile and child-bearing.
(A) 12 yrs to 42 yrs 
(B) 14 yrs to 44 yrs 
(C) 15 yrs to 49 yrs 
(D) 16 yrs to 36 yrs 
(E) 17 yrs to 37 yrs",C,,,
 806 ,"Of 145,382 informal settler households in Metro Manila in 2004-2010, 6,802 households settled along Pasig River, 21,047 settled along esteros, 34,367 settled along the 'riles', and 82,896 households occupied public and private lands. What is primary 'mode' of informal settlement in Metro Manila?
(A) 'along da riles' 
(B) 'along esteros' 
(C) 'along the Pasig' 
(D) 'occupation of public and private land'",D,,,
 807 ,"The law that provides for a comprehensive and continuing urban development and housing program and establishes the mechanisms for the implementation of socialized housing in the Philippines
(A) RA 7279 
(B) RA 7160 
(C) RA 1010 
(D) RA 6969",A,,,
 808 ,"In the words of PD 933, the 'human settlements approach"" emphasizes
(A) socialized housing, low-cost housing, economic housing, and cooperative housing 
(B) Plato's ideals of 'the true, the good, and the beautiful' 
(C) family, employment, community, (folk-work-place), freedom of belief, and ecological balance 
(D) habitability, quality of life, efficiency, economy, social opportunity, convenience, and beauty",D,,,
 809 ,"Under Executive Order 90, the agency that is responsible for coordinating activities of government agencies to ensure the accomplishment of the National Shelter Program is 
(A) NHA 
(B) HLURB 
(C) HUDCC 
(D) NHMFC 
(E) HMDF or 'Pag-ibig' 
(I) HIGC",C,,,
 810 ,"In a ‘house and lot’ package, the price of the lot shall not be more than __ of the whole.
(A) 20% 
(B) 30% 
(C) 35% 
(D) 40%",D,,,
 811 ,"Under BP 220, the design of housing projects has to prioritize physical needs in the following order of importance.
(A) electricity, recreation, transport vehicles, market for foodstuffs, water supply, solid waste facility
(B) health center, daycare center, church, public school, assembly hall, basketball court, and cellsites 
(C) water, roads for circulation, stormwater drainage, disposal of solid and liquid wastes, power, park/playground 
(D) police station, fire station, government office, jail, cemetery, telephone and cable trunk lines",C,,,
 812 ,"According to PD 957 Sec. 28, when a government office or public institution is located inside a private subdivision, the rights of access of which group should take precedence?
(A) the rights of property owners over the rights of the taxpayers
(B) the rights of the general public over the rights of the subdivision homeowners
(C) the rights of government officials over the rights of businessmen
(D) the rights of public utility vehicle operators over the rights of private car owners",B,,,
 813 ,"Land Banking' or land assembly refers to the right of the State to acquire land in advance of actual need through
(A) eminent domain, expropriation, confiscation 
(B) readjustment, re-alignment, re-platting
(C) raising revenues through Land Bank LBP bonds & treasury bills
(D) sale, purchase, exchange, negotiation, and similar techniques",A,,,
 814 ,"Under PD 1517, a disposition technique used by the State to enable occupants of government-owned land to exercise ownership over occupant-Introduced improvements.
(A) land grant 
(B) doleout 
(C) tenure in improvement 
(D) co-ownership 
(E) patent",C,,,
 815 ,"Following Rostow’s theory, as an economy develops, a smaller percentage of the workforce tends to be employed in
(A) agriculture, because industrialization decreases the value of rural land 
(B) agriculture, because investment in technology increases yield per unit effort and decreases labor demand 
(C) industry, because the profit from extracting natural resources increases 
(D) industry, because productivity increases as labor costs rise 
(E) services, because technology increases efficiency in the provision of services",B,,,
 816 ,"Economic self-sufficiency or 'spatial closure,' as in the case of isolationist Cuba and Bhutan, is regarded by a few thinkers as a desirable goal of territorial development because
(A) it shifts attention to the promotion of tourism 
(B) it earns substantial remittances from workers sent abroad
(C) it cushions a territory from external economic shocks
(D) it leads to an increase in both imports and exports through globalization",C,,,
 817 ,"Which of the following illustrates why ‘natural resource development’ may not promote local economic development?
(A) Foreign engineers and technical specialists are given priority in mining employment 
(B) Royalties from forestry are remitted only to national tax collection agencies. 
(C) Profits repatriated by Multi-National Corporations are larger than their yearly Foreign Direct Investment 
(D) Duty-free shops of high-end goods cater to expatriate communities around an energy generation plant 
(E) Filipino managers and employees use only imported luxuries and foreign-branded products. 
(F) All of the above",F,,,
 818 ,"Which of the following is not a 'virtue' of free markets? 
(A) 'motivation' 
(B) 'efficiency' 
(C) 'productivity' 
(D) 'equity' 
(E) 'diverse consumer choices'",D,,,
 819 ,"ln what way is the mix of ‘basic sector employment’ and ‘non-basic employment’ in a city/town important?
(A) a little farm village's economic structure will be mostly basic. 
(B) Basic workers rely on the area's nonbasic workers in the preparation of food, clothing and shelter. 
(C) Cities/towns with more basic than nonbasic jobs tend to be more self-sufficient. 
(D) Basic employment brings money into the area; nonbasic employment sends money out of the area.",B,,,
 820 ,"Break-of-bulk' points explain why economic activities are where they are. Which best illustrates a break-of-bulk point?
(A) Service industries appear near or around urban industrial zones 
(B) A village develops at a portage where traders must carry their canoes across land 
(C) A third grocery store locates in the gap between two competitors 
(D) A company reaches the critical size when it feels the need to franchise.",A,,,
 821 ,"Remittances of migrant Filipinos and overseas contract workers add up to around US$20-billion per year, almost 20% of Philippines' Gross Domestic Product. In economics, these cash transfers are collectively called
(A) non-portfolio investment 
(B) Overseas Filipino Investment 
(C) Net Factor Income from Abroad 
(D) Foreign Direct Investment 
(E) Family obligations 
(F) Balance of Payment",C,,,
 822 ,"Which combination of three is the best example of primary, secondary, and tertiary activities, in that order?
(A) farmer, shoemaker, newspaper reporter 
(B) lumber mill, gas station attendant, car manufacturer 
(C) forester, carpenter, cabinet-maker 
(D) miner, farmer, banker",A,,,
 823 ,"ln the formulation of CLUP, location Quotient (LQ) analysis is useful to identify
(A) diversity of industry 
(B) comparative advantage 
(C) compatibility of land uses 
(D) centrality of location",B,,,
 824 ,"This refers to the totality of cultural properties preserved and developed through time and passed on for posterity.
(A) national patrimony 
(B) customs & traditions 
(C) patriotic legacy 
(D) cultural heritage 
(E) bequeaths & bequests",b,,,
 825 ,"This refers to sustainable travel to a heritage area or natural area to observe wildlife or exotic ecosystems, to help preserve nature; while also providing for community participation, protection and management of natural resources, environmental education, and economic benefits for the enrichment of host communities and the satisfaction of visitors.
(A) domestic tourism 
(B) cultural tourism 
(C) ecotourism 
(D) educational excursion 
(E) pleasure trip",C,,,
 826 ,"Which of the following institutions would be feast Involved in the official determination of a 'heritage site'?
(A) HLURB 
(B) National Museum 
(C) National Commission on Culture and the Arts 
(D) Cultural Center of the Philippines 
(E) Department of Tourism 
(F) National Historical Institute",A,,,
 827 ,"It is a preliminary study undertaken before an endeavor actually starts to ascertain the likelihood of its success by examining in detail its market, technical, environmental, social, financial, economic, and organizational viability. 
(A) Investment Study 
(B) Interdisciplinary Study 
(C) Feasibility Study 
(D) TOM- Total Quality Management",C,,,
 828 ,"Government's development projects, whether sectoral or cross-sectoral, generally aim to
(A) Minimize costs 
(B) Minimize effects 
(C) Maximize profits 
(D) Maximize impact",D,,,
 829 ,"What is the first element of the Project Planning Cycle?
(A) project preparation 
(B) brainstorming of ideas 
(C) budget & appropriations 
(D) problem analysis/needs assessment",D,,,
 830 ,"Which is not among the 'direct benefits of a project? 
(A) producer surplus 
(B) consumer satisfaction 
(C) cash-transfer 
(D) government fiscal savings 
(E) higher value of goods",A,,,
 831 ,"The function of a 'baseline' study is to assist project management to
(A) understand the 'bottom line' of a project 
(B) find the lowest possible level of costs 
(C) see whether change takes place 
(D) determine minimum deliverables to the principals 
(E) set bedrock parameters for project operational behavior 
(F) set precise objectives",C,,,
 832 ,"Which of the following statements is true?
(A) Social analysis quantifies risk and potential damage to society 
(B) Social analysis identifies needs and priorities of project beneficiaries 
(C) Social analysis screens and selects people ideal for a project 
(D) Social analysis shows the conceptual detail that convinces donor agencies to fund a project",B,,,
 833 ,"A Cost-Benefit Analysis (CBA) usually includes
(A) measurement of expenditure, tradeoffs, as well as stakeholder benefits, implementor's profits and psychic income 
(B) transparent overview of monetary costs and benefits to investors 
(C) an explanation or justification for over-spending or under-spending on the project's budget 
(D) estimation of social, economic, and other possible gains and losses for people affected whether directly and indirectly",D,,,
 834 ,"Which is not a component of Cost-Benefit Analysis?
(A) internal rate of return 
(B) economic rate of return 
(C) net present value 
(D) benefit-cost ratio 
(E) accounting profit before taxes 
(F) None of the above",F,,,
 835 ,"A tool used to estimate the difference between public costs and public revenues generated by a project for the LGU in which it occurs, specifically the project's bearing on LGU finances, without considering overall economic effects on the community 
(A) cost-revenue analysis 
(B) fiscal impact analysis 
(C) zero-based budgeting 
(D) capital rationing
",A,,,
 836 ,"ln infrastructure development, “unsolicited proposals” are in a sense ""Irregular"" because
(A) they might not conform to the set goals and priorities of incumbent administration and its declared plans/policies
(B) their proponents are usually not in existing government database of contractors/implementors with proven record
(C) they are not subjected to background investigation or character investigation which is standard for private banks
(D) current system has very short period to check the worth, the viability of, and alternatives to, unsolicited projects
(E) all of the above",E,,,
 837 ,"Which of the following can be clustered as the 'biophysical' dimension in infrastructure planning and development?
(A) sand, gravel, cement, asphalt, steel, wrought iron, galvanized iron, alloys and component materials
(B) who benefits? who pays? what are revenues to LGU? obligations of contractor? borrowings of national government?
(C) site layout, structural design, facade, frontage, retrorse, vertical soundness, horizontal spread,
(D) topography, hydrology, lithology (soils), vegetation, land cover, climate",D,,,
 838 ,"Under which phase of the Project Cycle does 'detailed design and engineering' fall?
(A) Pre-investment phase 
(B) Investment phase 
(C) Project Preparation and Feasibility Study 
(D) Project Appraisal and Funding Approval
(E) Project Screening 
(F) Project Operation",B,,,
 839 ,"In project implementation and project management, what is Murphy's Law? 
(A) “If you fail to plan, then you plan to fail.”
(B) “If you don't learn from the mistakes of the past, you are bound to repeat them.”
(C) “If something is paid for, it will get done for sure.”
(D) “If something can go wrong, eventually it will go wrong.”
(E) “If you have the money, there is no point not to spend it.”",D,,,
 840 ,"In personnel management, a 'competency' is defined as ability to perform a particular task effectively. What are the basic types of 'competencies'?
(A) competitiveness, assertiveness, aggression 
(B) talent, aptitude, giftedness, virtuosity 
(C) reading, numeric, and analytic competencies
(D) knowledge-based competencies and behavioral competencies 
(E) field-based competencies and office-based competencies 
",D,,,
 841 ,"Which of the following statements is false? 
(A) A 'performance assessment' is generally done every 1 to 2 years. 
(B) A 'performance assessment' is based on observed results and behavior. 
(C) A 'performance assessment' is based on information from at least two sources. 
(D) A 'performance assessment' is dialogue with a negotiated outcome. 
(E) A 'performance assessment' must be a transparent process.",D,,,
 842 ,"You are working with Human Resource Department in analyzing the staffing and deployment for your project. Which of the following documents would you primarily refer to during this process?
(A) Salary Scale and Payroll Form 
(B) Resource Breakdown Structure 
(C) Work Breakdown Structure 
(D) Organizational Breakdown Structure",C,,,
 843 ,"You are at a critical stage of your land use project. Unfortunately your infrastructure engineer and the GIS specialist from your partner-agency do not get along. What is the best thing to do? 
(A) Ignore the situation. It’s just a personal conflict. 
(B) Ask the partner-agency to replace the GIS specialist 
(C) Bring the two together to solve the problem 
(D) Talk to each and tell them that it is clearly the other one's fault. 
",C,,,
 844 ,"Which of the following is not a 'win-win principle' of 'Getting to Yes' style of conflict management of the Harvard's JFK School of Government?
(A) Separate people from the problem 
(B) Try submoment and grease instead of head-on collision 
(C) Focus on interests, not on positions
(D) Focus on the problem, not on the people
",B,,,
 845 ,"According to the Harvard's JFK School of Government, the most collaborative response to conflict from the list below is?
(A) Litigation 
(B) Mediation 
(C) Negotiation 
(D) Adjudication 
(E) Confrontation",C,,,
 846 ,"A very important principle in project implementation is 
(A) scrimp and save as much as possible to pool money for the year-end incentives pay 
(B) pay all participants generously to attain stakeholder satisfaction even if project is not completed 
(C) Be principled and never make any adjustments to the project's LogFrame 
(D) Get the project done as planned, on time, and within the budget 
(E) Make sure that PR practitioners write reports in glowing language and submit them in world-class layout-format",D,,,
 847 ,"What are the three documents that form the basis of financial management?
(A) Ledger, Book of Accounts, Balance Sheet 
(B) Income Statement, Expenditure Report, Budget
(C) Cash-Flow Statement, Profit-Loss Statement, Bank Statement
(D) Capital Outlay, Income before Taxes, End-of-Year Statement on Financial Performance",B,,,
 848 ,"What type of bond guarantees payment on all obligations arising from a contract?
(A) surety 
(B) assurance 
(C) perfomance 
(D) warranty 
(E) reparation",A,,,
 849 ,"It is the systematic, timely, and regular gathering of feedback about the progress of a project in terms of inputs, operations, and outputs and the timely provision of appropriate support or intervention, if necessary.
(A) surveillance 
(B) reconnaissance 
(C) supervision 
(D) monitoring 
(E) espionage",D,,,
 850 ,"A system of inputting, collating, and organizing data that would provide selective data and analytic reports to Management, to assist in monitoring and controlling a projects organization, resources, activities, and results.
(A) EDP - Electronic Data Processing 
(B) ICT - Information and Communication Technologies 
(C) PDS - Proiect Development information Service 
(D) MIS - Management Information System",D,,,
 851 ,"To implement cross-sectoral development projects that are spread widely apart in an archipelago, what would be a more suitable organizational set-up?
(A) hierarchic command structure 
(B) strong horizontal or matrix organization 
(C) TQM learning circles 
(D) ad hoc task forces 
(E) centralized Project Management Office 
(F) Management By Objectives",B,,,
 852 ,"What is a major difference between 'monitoring and evaluation'?
(A) There is no difference between 'monitoring and evaluation' that’s why they always go together.
(B) Monitoring looks at objective quantifiable data while evaluation weighs subjective judgments and perceptions.
(C) Evaluation looks into the 'why' question while monitoring looks into 'how much'.
(D) Monitoring assesses the performance of project staff, evaluation assesses performance of project management
(E) Monitoring is done within the control of project management while evaluation is done by higher management",C,,,
 853 ,"Which of the following statements on evaluation is false? 
(A) 'Efficiency' criterion asks whether results were achieved at reasonable costs 
(B) 'Effectiveness' criterion assesses how results impacted on the objective 
(C) 'Relevance' criterion assesses if the project fitted into the wider social context and priorities of government 
(D) 'Sustainability' criterion assesses whether the Issuance of CNC or ECC was justified 
(E) 'Impact' criterion assesses whether project has made a dent on real-life conditions & needs of target beneficiaries",D,,,
 854 ,"What are the four principles to guide evaluation?
(A) time, talent, treasure, trust 
(B) outputs, outcomes, results, effects 
(C) adequacy, anticipation, timeliness, responsiveness 
(D) impartiality, stakeholder participation, credibility and usefulness",B,,,
 855 ,"An analytical, presentational, and management tool that involves problem analysis, stakeholder analysis, developing a ladderlike chain of objectives, and selecting a preferred implementation strategy, usually taking the form of a four-by-four table that summarizes what the project intends to do and how, what the key assumptions are, and how outputs and outcomes will be monitored and evaluated.
(A) Primavera 
(B) Force Field Analysis 
(C) Logical Framework 
(D) Logical Decision Window",C,,,
 856 ,"Which of the following statements is true with respect to the LogFrame?
(A) Results define the objective and activities contribute to goals. 
(B) The goal leads to objectives, which contribute to results, which define activities 
(C) The results of objectives lead to activities that contribute to the goal
(D) Activities lead to results, which lead to the objective, which contributes to a goal",D,,,
 857 ,"Which of the following ordered steps of “Program Evaluation and Review Technique” (PERT) refers to ascertaining the difference between expected time and latest time?
(A) define tasks
(B) link tasks in sequence
(C) estimate time to complete each task
(D) find slack time
(E) find probability of meeting expected time",D,,,
 858 ,"Which of the following ordered steps of Critical Path Method (CPM) is 'iterative' or continually interactive to enable the whole process to make adjustments under different assumptions or different conditions.
(A) revise PERT estimates to arrive at minimum time, neither wasting nor sparing costs 
(B) estimate time and cost, 'crashed' and 'normal' 
(C) determine cost-per-week for 'crashing' (crashed costs/time saved) 
(D) 'crash' cheapest path on the 'critical path' 
(E) recalculate project network, continue 'c' & 'd' until all paths are ‘crashed’
(F) ease up on noncritical paths, until all paths are critical",D,,,
 859 ,"“Substantive due process” refers to the legitimacy of government purpose to protect public good, through a conceivable, believable rationality in its decisions. What dimension of due process refers to ""notice and an opportunity to be heard in a fundamentally fair hearing by an impartial tribunal""?
(A) fundamental due process
(B) judicial due process
(C) procedural due process 
(D) administrative due process",C,,,
 860 ,"An example of this is when government acquires land for public buildings, highways, and public welfare purposes.
(A) sovereignty 
(B) Constitutional supremacy 
(C) eminent domain 
(D) seizure & confiscation 
(E) transfer & exchange",C,,,
 861 ,"Which benefit from a 'national land use code' would strengthen preservation / conservation rather than market mechanisms?
(A) guarantee land rights, enhance security of tenure, enhance mobility and ease of transfer of A&D properties 
(B) reduce land disputes and thus improve urban planning and infrastructure development 
(C) serve as rational basis for land taxation and property taxation 
(D) protect State lands and promote environmental management 
(E) develop land markets and system of mortgage finance, provide access to loans and security of credit",D,,,
 862 ,"‘TEPO’ from the Supreme Court of the Republic of the Philippines, means
(A) Transmutation of Environmental Penalty Ordinance 
(B) Temporary Environmental Protection Order 
(C) Trans-agency Edict on Pollutive Occupations 
(D) Total Elimination of Pornography and Obscenity",B,,,
 863 ,"Used in the case against Exxon Valdez oil spill in 1989, this doctrine of common law maintains that the State holds natural resources in trust for the public, now and in the future, and that government has the duty to protect the public's interest in natural resources, which citizens can not do separately and individually. 
(A) environmental justice 
(B) transparency and accountability 
(C) public trust doctrine 
(D) State stewardship",A,,,
 864 ,"Which kind of land can be converted into other uses with the least legal complication? 
(A) mangrove swamps 
(B) shrubland and grassland 
(C) mudflats & salinas 
(D) municipal plaza 
(E) road right of way",B,,,
 865 ,"Under RA 6657 CARL, the owner of land under CARP can retain for himself / herself alone
(A) 3 hectares
(B) 5 hectares
(C) 7 hectares
(D) 9 hectares
(E) 11 hectares",B,,,
 866 ,"Of the following cases of land conversion, which one needs to prove that the land has ceased to be “economically feasible and sound for agricultural purposes,” to be certified by the Secretary of Agriculture?
(A) conversion of cropland into irrigation facility 
(B) conversion of cropland into national RROW 
(C} conversion of cropland into commercial center 
(D) conversion of cropland into protected area for rare species
(E) conversion of cropland into heritage site and ecotourist spot 
(F) conversion of cropland into LGU buffer / floodholding area",C,,,
 867 ,"The following were made members of the NEDA Board between 2001-2010, all of them without Cabinet rank, except one.
(A) Governor of Bangko Sentral ng Pilipinas
(B) National President, Union of Local Authorities of Phils
(C) Chairman of Metro Manila Development Authority
(D) Chairman of Commission on Information & Comm Technologies
(E) Chairman of Subic-Clark Area Development Corporation
(F) Governor of Autonomous Region of Muslim Mindanao",C,,,
 868 ,"Who among the current members of the Regional Development Council do not hold an appointive office?
(A) regional executive directors of agriculture, agrarian reform, DENR
(B) LCEs of component provinces & chartered or autonomous units
(C) regional director of Philippine National Police
(D) official reps or proxies of congressmen",B,,,
 869 ,"The following are generally non-pollutive and non-hazardous except one.
(A) manufacture of bread, pastries, cakes, donuts, biscuits, hopia, and noodles
(B) assembly and repair of personal computers, home electronic devices, appliances, and appurtenances
(C) manufacture of paints, paint removers, solvents, lacquers, varnishes, shellac, coating materials
(D) manufacture of small leather goods such as handbags, luggage, wallets, belts, shoes, and sandals
(E) publishing and printing of school books, pamphlets, flyers, receipts, greeting cards, social communications",C,,,
 870 ,"What are the proper sections of a Project Description for projects seeking Certificate of Non-Coverage?
(A) Proponent, Goals, Key Result Areas, Project Mechanics, Resources Needed, Loans to be contracted, Expected ROI
(B) Rationale, Location & Area, Development Plan & Phases, Alternatives, Manpower Reqts, Cost, Duration & Schedule
(C) Description of Land, Capital, Machines, Materials, Manpower, Management, and Marketing
(D) Objectives, Scope, Methodology, Program of Work, Resource Requirements, Participating Entitites",B,,,
 871 ,"What are the basic elements of an EIA study?
(A) Market Aspect Technical Aspect Social Aspect, Financial Aspect, Economic Aspect, and Institutional Aspect
(B) Problem, Objectives, Review of Lit, Conceptual Framework, Methods, Analysis of Data, Conclusions, Recommendations
(C) Location & Area, Characteristics of Project Undertaking, Magnitude of Impact, Spatial Extent, Duration, and Complexity
(D) Baseline Data, Mid-stream Data, Operational Conditions, Control Interventions, Post Implementation",C,,,
 872 ,"Which of the following is most useful in an EIA study?
(A) performance standards
(B) 'LOS' or 'accommodation' standards
(C) design standards
(D) convenience standards",A,,,
